Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,2,775220,0.34
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,3,748632,0.33
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,4,461949,0.2
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,5,589,0
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,all,2300592,1.0
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3+,981062,0.43
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,1,430065,0.19
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,2,889464,0.39
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3,633602,0.28
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,4,347460,0.15
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3+,765187,0.59
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,1,183804,0.14
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,2,352498,0.27
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3,455751,0.35
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,4,302362,0.23
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,5,7074,0.01
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3+,849159,0.65
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,1,131570,0.1
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,2,320759,0.25
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3,459095,0.35
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,4,338737,0.26
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,5,51328,0.04
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3+,713859,0.54
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,1,193071,0.15
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,2,394559,0.3
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3,435335,0.33
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,4,278524,0.21
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3+,538962,0.3
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,1,554359,0.31
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,2,716322,0.4
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3,447543,0.25
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,4,91419,0.05
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3+,668665,0.37
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,1,465948,0.26
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,2,675031,0.37
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3,532643,0.29
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,4,136022,0.08
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3+,455881,0.25
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,1,613716,0.34
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,2,740046,0.41
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3,402978,0.22
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,4,52903,0.03
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3+,1311693,0.49
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,1,487197,0.18
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,2,878001,0.33
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3,996330,0.37
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,4,315364,0.12
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3+,1548028,0.58
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,1,355861,0.13
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,2,773002,0.29
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3,1121623,0.42
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,4,426405,0.16
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3+,1238255,0.46
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,1,584427,0.22
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,2,854209,0.32
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3,965482,0.36
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,4,272773,0.1
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,all,3661757,1.0
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,3+,2041268,0.56
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,1,570472,0.16
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,2,1050017,0.29
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,3,1266359,0.35
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,4,708592,0.19
Apr 2024,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,5,66317,0.02
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,all,3661757,1.0
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,3+,2341127,0.64
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,1,387384,0.11
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,2,933246,0.25
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,3,1318080,0.36
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,4,876424,0.24
Apr 2024,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,5,146623,0.04
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,all,3661757,1.0
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,3+,2055258,0.56
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,1,537825,0.15
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,2,1068675,0.29
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,3,1281615,0.35
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,4,741240,0.2
Apr 2024,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,5,32403,0.01
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,all,2368732,1.0
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,3+,621542,0.26
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,1,910530,0.38
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,2,836660,0.35
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,3,545624,0.23
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,4,75918,0.03
Apr 2024,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,all,2368732,1.0
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,3+,803361,0.34
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,1,667038,0.28
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,2,898333,0.38
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,3,710636,0.3
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,4,92725,0.04
Apr 2024,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,all,2368732,1.0
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,3+,597797,0.25
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,1,696216,0.29
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,2,1074719,0.45
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,3,579707,0.24
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,4,18090,0.01
Apr 2024,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,all,5439140,1.0
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,3+,2853931,0.53
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,1,619648,0.11
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,2,1965561,0.36
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,3,1556008,0.29
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,4,1297923,0.24
Apr 2024,SDN,47208125,Aj Jazirah,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,all,5439140,1.0
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,3+,3383973,0.62
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,1,347691,0.06
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,2,1707476,0.31
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,3,1645614,0.3
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,4,1542136,0.28
Apr 2024,SDN,47208125,Aj Jazirah,first projection,2024-06-01,2024-09-30,5,196223,0.04
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,all,5439140,1.0
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,3+,2867804,0.52
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,1,530042,0.1
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,2,2041295,0.38
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,3,1645614,0.3
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,4,1208317,0.22
Apr 2024,SDN,47208125,Aj Jazirah,second projection,2024-10-01,2025-02-28,5,13872,0
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,all,1823319,1.0
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,3+,826909,0.45
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,1,309295,0.17
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,2,687115,0.38
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,3,534412,0.29
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,4,292497,0.16
Apr 2024,SDN,47208125,West Kordofan,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,all,1823319,1.0
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,3+,1009241,0.55
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,1,211500,0.12
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,2,602578,0.33
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,3,625578,0.34
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,4,383663,0.21
