,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
156,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3+,849159,0.65,2024-04
157,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,1,131570,0.1,2024-04
158,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,2,320759,0.25,2024-04
159,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3,459095,0.35,2024-04
160,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,4,338737,0.26,2024-04
161,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,5,51328,0.04,2024-04
162,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,all,1301489,1.0,2024-04
163,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3+,713859,0.54,2024-04
164,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,1,193071,0.15,2024-04
165,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,2,394559,0.3,2024-04
166,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3,435335,0.33,2024-04
167,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,4,278524,0.21,2024-04
168,2024-04-01,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
169,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,all,1809643,1.0,2024-04
170,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3+,538962,0.3,2024-04
171,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,1,554359,0.31,2024-04
172,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,2,716322,0.4,2024-04
173,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3,447543,0.25,2024-04
174,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,4,91419,0.05,2024-04
175,2024-04-01,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
176,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,all,1809643,1.0,2024-04
177,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3+,668665,0.37,2024-04
178,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,1,465948,0.26,2024-04
179,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,2,675031,0.37,2024-04
180,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3,532643,0.29,2024-04
